,brand,store,sido,gungu,address,phone,chicken
0,cheogajip,가평북면점,경기,가평군,경기 가평군 북면 화악산로 11,031-582-7114,처갓집
1,cheogajip,옥정점,경기,양주시,"경기 양주시 새터로 21-10 , 102호",031-862-9902,처갓집
2,cheogajip,자양점,서울특별시,광진구,서울특별시 광진구 뚝섬로55길22,02-455-8292,처갓집
3,cheogajip,천호점,서울특별시,강동구,서울특별시 강동구 천중로72,02-474-4467,처갓집
4,cheogajip,오창1산단점,충북,청주시,"충북 청주시 청원구 오창읍 오창중앙로 123-12, 1층 106호(한라트리플타워)",043-212-0215,처갓집
5,cheogajip,포남점,강원도,강릉시,강원도 강릉시 성덕포남로153번길15,033-648-5847,처갓집
6,cheogajip,오창1산단점,충청북도,청주시,충청북도 청주시 청원구 오창읍 오창중앙로123-12,043-212-0215,처갓집
7,cheogajip,나성점,세종시,나성북1로23,세종시 나성북1로23,044-863-8333,처갓집
8,cheogajip,신양점,충남,예산군,충남 예산군 신양면 청신로 386,041-333-5200,처갓집
9,cheogajip,성연점,충남,서산시,충남 서산시 성연면 성연3로 76,041-664-8884,처갓집
10,cheogajip,해운대중동점,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로8번길 78, 상가동 1층 1호 (중동,해운대메트로하이츠)",051-701-9292,처갓집
11,cheogajip,중문점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 천제연로207번길10,070-4833-1998,처갓집
12,cheogajip,광명일직점,경기도,광명시,경기도 광명시 양달로20번길3,02-899-0438,처갓집
13,cheogajip,동탄점,경기도,화성시,경기도 화성시 동탄반송3길8,031-8003-9923,처갓집
14,cheogajip,관평점,대전광역시,유성구,대전광역시 유성구 관평1로15,042-934-9779,처갓집
15,cheogajip,부산명륜점,부산광역시,동래구,부산광역시 동래구 시실로49,051-558-7779,처갓집
16,cheogajip,백운호수점,경기도,의왕시,경기도 의왕시 백운중앙로99,031-344-9292,처갓집
17,cheogajip,고양점,경기도,고양시,경기도 고양시 덕양구 호국로1771,031-969-4777,처갓집
18,cheogajip,당하점,인천광역시,서구,인천광역시 서구 청마로167번안길17,032-566-9295,처갓집
19,cheogajip,정발산점,경기도,고양시,경기도 고양시 일산동구 산두로273번길47-6,031-922-5777,처갓집
20,cheogajip,석수예술공원점,경기도,안양시,경기도 안양시 만안구 경수대로1203,031-472-4708,처갓집
21,cheogajip,호계점,울산광역시,북구,울산광역시 북구 동대1길18,052-297-5492,처갓집
22,cheogajip,쌍용점,충남,천안시,충남 천안시 서북구 월봉로 132 타워프라자 1층 113호,041-901-8966,처갓집
23,cheogajip,퇴촌점,경기도,광주시,경기도 광주시 퇴촌면 광동로97,031-766-5633,처갓집
24,cheogajip,청라호수공원점,인천광역시,서구,인천광역시 서구 크리스탈로102번길 22,032-569-0494,처갓집
25,cheogajip,귤현점,인천광역시,계양구,인천광역시 계양구 양지로131,032-554-0333,처갓집
26,cheogajip,문산당동점,경기도,파주시,경기도 파주시 문산읍 당동1로 52,031-953-5592,처갓집
27,cheogajip,길음뉴타운점,서울특별시,성북구,"서울특별시 성북구 숭인로 10, 1층(길음동)",02-981-8292,처갓집
28,cheogajip,금촌2호점,경기,파주시,"경기 파주시 송화로 13 , 169동 113호",031-941-9289,처갓집
29,cheogajip,현대캠퍼스몰점,경기,남양주시,경기 남양주시 다산순환로 20,031-869-3392,처갓집
30,cheogajip,통진점,경기도,김포시,경기도 김포시 통진읍 서암로6번길 5-21,050-7744-8295,처갓집
31,cheogajip,안정점,경상남도,통영시,경상남도 통영시 광도면 안정로 781,055-646-9852,처갓집
32,cheogajip,반지점,경상남도,창원시,경상남도 창원시 성산구 반지로32번길 19,055-237-9293,처갓집
33,cheogajip,동읍점,경상남도,창원시,경상남도 창원시 의창구 동읍 용잠로 34,055-295-7999,처갓집
34,cheogajip,정평점,경상북도,경산시,경상북도 경산시 대학로 64,0507-1375-2289,처갓집
35,cheogajip,산격점,대구광역시,북구,대구광역시 북구 대동로1길 23,0507-1436-0252,처갓집
36,cheogajip,동호점,대구광역시,동구,대구광역시 동구 동호로3길 20,053-964-9281,처갓집
37,cheogajip,매천점,대구광역시,북구,대구광역시 북구 매전로 50-10,0507-1349-4860,처갓집
38,cheogajip,고산점,대구광역시,수성구,대구광역시 수성구 달구벌대로641길 23,0507-1322-0999,처갓집
39,cheogajip,봉화점,경상북도,봉화군,경상북도 봉화군 봉화읍 내성로1길 45-1,0507-1336-4401,처갓집
40,cheogajip,장성점,전라남도,장성군,전라남도 장성군 장성읍 영천로 133-2,010-5496-2140,처갓집
41,cheogajip,미장점,전라북도,군산시,전라북도 군산시 미장남로 36,0504-0999-1341,처갓집
42,cheogajip,청당청수점,충청남도,천안시,충청남도 천안시 동남구 풍세로 932,041-567-4241,처갓집
43,cheogajip,노은점,대전광역시,유성구,대전광역시 유성구 은구비남로33번길 5,042-710-8989,처갓집
44,cheogajip,계룡대점,충청남도,계룡시,충청남도 계룡시 신도안면 신도안1길 61,0507-1409-9298,처갓집
45,cheogajip,법흥점,강원도,영월군,강원도 영월군 무릉도원면 무릉법흥로 1145-10,0507-1437-1031,처갓집
46,cheogajip,노원역점,서울특별시,노원구,서울특별시 노원구 동일로 1456,02-932-8288,처갓집
47,cheogajip,가락점,서울특별시,송파구,서울특별시 송파구 송이로17길 54-27,02-400-7711,처갓집
48,cheogajip,당수점,경기도,수원시,경기도 수원시 권선구 당진로15번길 56,031-501-9151,처갓집
49,cheogajip,수원역점,경기도,수원시,경기도 수원시 팔달구 매산로52번길 16,031-233-7282,처갓집
50,cheogajip,과천점,경기도,과천시,경기도 과천시 별양로12,02-504-2560,처갓집
51,cheogajip,행운점,서울특별시,관악구,서울특별시 관악구 관악로28길 56,02-876-2300,처갓집
52,cheogajip,장항점,경기,고양시,"경기 고양시 일산동구 정발산로 24 , 1층 A-113호(장항동,웨스턴돔1)",031-905-5777,처갓집
53,cheogajip,쌍문1점,서울특별시,도봉구,"서울특별시 도봉구 우이천로 330, 상가동 1층 102,103호(쌍문동, 삼성래미안)",02-900-8292,처갓집
54,cheogajip,시흥점,서울특별시,금천구,서울특별시 금천구 독산로14,02-808-8178,처갓집
55,cheogajip,검단아라점,인천광역시,서구,인천광역시 서구 이음5로 39,032-561-9088,처갓집
56,cheogajip,향동점,경기,고양시,경기 고양시 덕양구 꽃내음2길 68,02-3159-9289,처갓집
57,cheogajip,봉담2점,경기도,화성시,경기도 화성시 봉담읍 매봉로478,031-293-7999,처갓집
58,cheogajip,낙성대점,서울특별시,관악구,서울특별시 관악구 남부순환로248길 57,02-876-0226,처갓집
59,cheogajip,간석점,인천광역시,남동구,인천광역시 남동구 경인로 611,032-716-9233,처갓집
60,cheogajip,물금남양산점,경상남도,양산시,"경상남도 양산시 물금읍 범어로 102, 107호 (라온센트럴상가)",055-383-9282,처갓집
61,cheogajip,주엽점,경기,고양시,경기 고양시 일산서구 주화로 42,031-917-7992,처갓집
62,cheogajip,운정1호점,경기,파주시,경기 파주시 동패로63번길 48-29 102호,031-942-5282,처갓집
63,cheogajip,신동백점,경기도,용인시,경기도 용인시 기흥구 언동로217번길 8,031-285-5885,처갓집
64,cheogajip,보문5가점,서울특별시,성북구,"서울특별시 성북구 지봉로20길 81, 1층 3호(보문동5가)",02-929-5783,처갓집
65,cheogajip,용인역삼점,경기도,용인시,경기도 용인시 처인구 지삼로 590번길 10-3,031-328-8855,처갓집
66,cheogajip,반월점,경기도,안산시,경기도 안산시 상록구 건건로 93,031-438-5003,처갓집
67,cheogajip,가능점,경기,의정부시,경기 의정부시 호국로 1135,031-875-9282,처갓집
